date,eto
2006-07-02,6.348184108734131
2006-07-03,6.121258735656738
2006-07-04,5.871346950531006
2006-07-05,7.010280132293701
2006-07-06,6.74660062789917
2006-07-07,4.189700126647949
2006-07-08,4.667551040649414
2006-07-09,5.129334926605225
2006-07-10,6.616000652313232
2006-07-11,6.563401699066162
2006-07-12,7.490572452545166
2006-07-13,7.956260681152344
2006-07-14,7.323326110839844
2006-07-15,7.1979079246521
2006-07-16,6.8986945152282715
2006-07-17,7.895317554473877
2006-07-18,6.991086483001709
2006-07-19,6.6588969230651855
2006-07-20,6.77476167678833
2006-07-21,7.272458553314209
2006-07-22,6.816338062286377
2006-07-23,6.258029937744141
2006-07-24,6.063477516174316
2006-07-25,6.168191432952881
2006-07-26,7.102814197540283
2006-07-27,6.767557621002197
